file_id,error
TRAIN_00121,0.0112803485
TRAIN_00122,0.0067758965
TRAIN_00123,0.0044322824
TRAIN_00124,0.0038495
TRAIN_00125,0.007872107
TRAIN_00126,0.002753726
TRAIN_00127,0.009157224
TRAIN_00128,0.0046261325
TRAIN_00129,0.047175094
TRAIN_00130,0.017519146
TRAIN_00131,0.016440362
TRAIN_00132,0.002130587
TRAIN_00133,0.0015112794
TRAIN_00134,0.009875051
TRAIN_00135,0.0053661363
TRAIN_00136,0.0058124554
TRAIN_00137,0.00398627
TRAIN_00138,0.002985119
TRAIN_00139,0.0075182645
TRAIN_00140,0.01753943
TRAIN_00141,0.01626473
TRAIN_00142,0.011984446
TRAIN_00143,0.0068137352
TRAIN_00144,0.0070443787
TRAIN_00145,0.00463204
TRAIN_00146,0.0039422098
TRAIN_00147,0.0020147283
TRAIN_00148,0.0037206158
TRAIN_00149,0.008232819
TRAIN_00150,0.006504713
TRAIN_00151,0.009639378
TRAIN_00152,0.0047003133
TRAIN_00153,0.002838737
TRAIN_00154,0.00725167
TRAIN_00155,0.0035462505
TRAIN_00156,0.011474218
TRAIN_00157,0.011725742
TRAIN_00158,0.0014179054
TRAIN_00159,0.046957694
TRAIN_00160,0.0015064008
TRAIN_00161,0.010314979
TRAIN_00162,0.010534573
TRAIN_00163,0.008216209
TRAIN_00164,0.008340235
TRAIN_00165,0.080999956
TRAIN_00166,0.028287124
TRAIN_00167,0.025202524
TRAIN_00168,0.012576452
TRAIN_00169,0.0061161118
TRAIN_00170,0.030000402
TRAIN_00171,0.007009218
TRAIN_00172,0.009620981
TRAIN_00173,0.0025695425
TRAIN_00174,0.003902177
TRAIN_00175,0.00796737
TRAIN_00176,0.042418867
TRAIN_00177,0.0018236917
TRAIN_00178,0.003989297
TRAIN_00179,0.024969894
TRAIN_00180,0.012001081
TRAIN_00181,0.004068574
TRAIN_00182,0.009727608
TRAIN_00183,0.013282464
TRAIN_00184,0.01221502
TRAIN_00185,0.035976667
TRAIN_00186,0.013160105
TRAIN_00187,0.0031792647
TRAIN_00188,0.008191838
TRAIN_00189,0.018380614
TRAIN_00190,0.01333615
TRAIN_00191,0.009920587
TRAIN_00192,0.0158801
TRAIN_00193,0.07970781
TRAIN_00194,0.0049446854
TRAIN_00195,0.0038133466
TRAIN_00196,0.005719506
TRAIN_00197,0.004809353
TRAIN_00198,0.010790787
TRAIN_00199,0.012543391
TRAIN_00200,0.019151371
TRAIN_00201,0.010734926
TRAIN_00202,0.0072676362
TRAIN_00203,0.011869209
TRAIN_00204,0.002651962
TRAIN_00205,0.10191393
TRAIN_00206,0.0070771556
TRAIN_00207,0.012401703
TRAIN_00208,0.0107556805
TRAIN_00209,0.011780121
TRAIN_00210,0.0024267132
TRAIN_00211,0.011592708
TRAIN_00212,0.0014006405
TRAIN_00213,0.0067442763
TRAIN_00214,0.01297218
TRAIN_00215,0.0049792025
TRAIN_00216,0.02252904
TRAIN_00217,0.005215964
TRAIN_00218,0.009297381
TRAIN_00219,0.004223357
TRAIN_00220,0.012717219
TRAIN_00221,0.034738254
TRAIN_00222,0.013050735
TRAIN_00223,0.0025202972
TRAIN_00224,0.0073885177
TRAIN_00225,0.014102165
TRAIN_00226,0.002551815
TRAIN_00227,0.024643993
TRAIN_00228,0.03843056
TRAIN_00229,0.009233404
TRAIN_00230,0.010167942
TRAIN_00231,0.0038070346
TRAIN_00232,0.029622085
TRAIN_00233,0.009241701
TRAIN_00234,0.0013831372
TRAIN_00235,0.0049957633
TRAIN_00236,0.0079692695
TRAIN_00237,0.011009524
TRAIN_00238,0.007720407
TRAIN_00239,0.011747091
TRAIN_00240,0.0020025852
TRAIN_00241,0.021864615
TRAIN_00242,0.036856502
TRAIN_00243,0.003312849
TRAIN_00244,0.008121663
TRAIN_00245,0.0026090778
TRAIN_00246,0.01298506
TRAIN_00247,0.075592816
TRAIN_00248,0.012913383
TRAIN_00249,0.007413094
TRAIN_00250,0.0039328276
TRAIN_00251,0.008263356
TRAIN_00252,0.004076912
TRAIN_00253,0.007391651
TRAIN_00254,0.0039664707
TRAIN_00255,0.028102662
TRAIN_00256,0.0028341883
TRAIN_00257,0.012997686
TRAIN_00258,0.022075688
TRAIN_00259,0.0046888334
TRAIN_00260,0.07939524
TRAIN_00261,0.007670151
TRAIN_00262,0.008991023
TRAIN_00263,0.010925103
TRAIN_00264,0.05375454
TRAIN_00265,0.0007313414
TRAIN_00266,0.010533365
TRAIN_00267,0.011983002
TRAIN_00268,0.0065963776
TRAIN_00269,0.00787161
TRAIN_00270,0.00877737
TRAIN_00271,0.026215544
TRAIN_00272,0.022554554
TRAIN_00273,0.0073829335
TRAIN_00274,0.012620573
TRAIN_00275,0.0014631788
TRAIN_00276,0.0058299685
TRAIN_00277,0.0028794312
TRAIN_00278,0.01133319
TRAIN_00279,0.006989549
TRAIN_00280,0.0027509432
TRAIN_00281,0.00824509
TRAIN_00282,0.010835409
TRAIN_00283,0.0048362655
TRAIN_00284,0.037684806
TRAIN_00285,0.0081714615
TRAIN_00286,0.0039111474
TRAIN_00287,0.003022508
TRAIN_00288,0.023444168
TRAIN_00289,0.023549136
TRAIN_00290,0.017742163
TRAIN_00291,0.0027529488
TRAIN_00292,0.02348695
TRAIN_00293,0.0032366868
TRAIN_00294,0.059061423
TRAIN_00295,0.008223255
TRAIN_00296,0.0015767447
TRAIN_00297,0.004113067
TRAIN_00298,0.011820051
TRAIN_00299,0.022283705
TRAIN_00300,0.0014532028
TRAIN_00301,0.019565623
TRAIN_00302,0.01301887
TRAIN_00303,0.0014894059
TRAIN_00304,0.0059288056
TRAIN_00305,0.0017737958
TRAIN_00306,0.015757084
TRAIN_00307,0.009695549
TRAIN_00308,0.014433758
TRAIN_00309,0.010337364
TRAIN_00310,0.003452924
TRAIN_00311,0.002517082
TRAIN_00312,0.008780475
TRAIN_00313,0.003978583
TRAIN_00314,0.041932914
TRAIN_00315,0.015030615
TRAIN_00316,0.01836718
TRAIN_00317,0.009127923
TRAIN_00318,0.0020465236
TRAIN_00319,0.0031293142
TRAIN_00320,0.054317415
TRAIN_00321,0.006470913
TRAIN_00322,0.006274225
TRAIN_00323,0.0025351576
TRAIN_00324,0.008364583
TRAIN_00325,0.007366927
TRAIN_00326,0.004182964
TRAIN_00327,0.03182863
TRAIN_00328,0.004603518
TRAIN_00329,0.031388793
TRAIN_00330,0.00988581
TRAIN_00331,0.0027796112
TRAIN_00332,0.0033516176
TRAIN_00333,0.0020987056
TRAIN_00334,0.018940523
